date,home,away,neutral,hg,ag,actual,cutoff,train_n,model,p_home,p_draw,p_away,predictable
2025-03-25,Senegal,Togo,False,2,0,home,2025-02-15,4256,dixon_coles,0.777544304702347,0.16703973959380367,0.05541595570384928,True
2025-03-25,Mauritania,DR Congo,False,0,2,away,2025-02-15,4256,dixon_coles,0.20819784959913928,0.36603246677754486,0.4257696836233158,True
2025-03-25,Egypt,Sierra Leone,False,1,0,home,2025-02-15,4256,dixon_coles,0.8744923698426437,0.09124927872274266,0.03425835143461365,True
2025-03-25,Indonesia,Bahrain,False,1,0,home,2025-02-15,4256,dixon_coles,0.2768358414458265,0.2710132169000622,0.4521509416541113,True
2025-03-25,Palestine,Iraq,True,2,1,home,2025-02-15,4256,dixon_coles,0.20365850526812124,0.31021219446594683,0.486129300265932,True
2025-03-25,China,Australia,False,0,2,away,2025-02-15,4256,dixon_coles,0.09961062966210424,0.21919773118521005,0.6811916391526857,True
2025-03-25,Kuwait,Oman,False,0,1,away,2025-02-15,4256,dixon_coles,0.23814311953248787,0.30508719623305836,0.45676968423445374,True
2025-03-25,South Korea,Jordan,False,1,1,draw,2025-02-15,4256,dixon_coles,0.6634677995739378,0.19511188927709222,0.14142031114897005,True
2025-03-25,North Korea,United Arab Emirates,True,1,2,away,2025-02-15,4256,dixon_coles,0.2885265496000049,0.33620994097533713,0.375263509424658,True
2025-03-25,Nigeria,Zimbabwe,False,1,1,draw,2025-02-15,4256,dixon_coles,0.5988887289223529,0.2540632279969172,0.14704804308072994,True
2025-03-25,Japan,Saudi Arabia,False,0,0,draw,2025-02-15,4256,dixon_coles,0.8420766343378634,0.1160033459728799,0.04192001968925664,True
2025-03-25,Rwanda,Lesotho,False,1,1,draw,2025-02-15,4256,dixon_coles,0.5232502171013131,0.33579463102241236,0.1409551518762744,True
2025-03-25,Liechtenstein,Kazakhstan,False,0,2,away,2025-02-15,4256,dixon_coles,0.055870200485605225,0.20007631840890897,0.7440534811054859,True
2025-03-25,Cameroon,Libya,False,3,1,home,2025-02-15,4256,dixon_coles,0.621832105537138,0.23244626464928206,0.1457216298135797,True
2025-03-25,Morocco,Tanzania,False,2,0,home,2025-02-15,4256,dixon_coles,0.8202181843147107,0.14959529130613228,0.030186524379156886,True
2025-03-25,Burundi,Seychelles,True,5,0,home,2025-02-15,4256,dixon_coles,0.8851637591432486,0.08371211194638493,0.03112412891036647,True
2025-03-25,Uganda,Guinea,False,1,0,home,2025-02-15,4256,dixon_coles,0.2728547256319276,0.2989016609554686,0.4282436134126039,True
2025-03-25,Botswana,Somalia,False,2,0,home,2025-02-15,4256,dixon_coles,0.7803796036666786,0.1570901304184307,0.06253026591489072,True
2025-03-25,Algeria,Mozambique,False,5,1,home,2025-02-15,4256,dixon_coles,0.7853040500067217,0.13986938685084813,0.07482656314243027,True
2025-03-25,Comoros,Chad,True,1,0,home,2025-02-15,4256,dixon_coles,0.645223954185571,0.26463077407862,0.09014527173580902,True
2025-03-25,Moldova,Estonia,False,2,3,away,2025-02-15,4256,dixon_coles,0.40752685022985846,0.307127390354361,0.28534575941578055,True
2025-03-25,Israel,Norway,True,2,4,away,2025-02-15,4256,dixon_coles,0.1659875955247388,0.1964030081506702,0.637609396324591,True
2025-03-25,Kyrgyzstan,Qatar,False,3,1,home,2025-02-15,4256,dixon_coles,0.24453945999620044,0.22409684455387613,0.5313636954499232,True
2025-03-25,North Macedonia,Wales,False,1,1,draw,2025-02-15,4256,dixon_coles,0.3279300560340609,0.31570564661965583,0.35636429734628344,True
2025-03-25,Gibraltar,Czech Republic,True,0,4,away,2025-02-15,4256,dixon_coles,0.004566822151136353,0.030612542902653337,0.9648206349462103,True
2025-03-25,Montenegro,Faroe Islands,False,1,0,home,2025-02-15,4256,dixon_coles,0.5794377067529104,0.27465268527973363,0.14590960796735597,True
2025-03-25,Angola,Cape Verde,False,1,2,away,2025-02-15,4256,dixon_coles,0.47064042053671323,0.33720112134844116,0.19215845811484566,True
2025-03-25,Iran,Uzbekistan,False,2,2,draw,2025-02-15,4256,dixon_coles,0.5172919296569045,0.2685131935888409,0.21419487675425466,True
2025-03-25,Russia,Zambia,False,5,0,home,2025-02-15,4256,dixon_coles,0.6870494059230213,0.21341719887272578,0.09953339520425294,True
2025-03-25,Argentina,Brazil,False,4,1,home,2025-02-15,4256,dixon_coles,0.5483275458344838,0.2639580668474126,0.18771438731810344,True
2025-03-25,Tajikistan,Timor-Leste,False,1,0,home,2025-02-15,4256,dixon_coles,0.9779188459710706,0.018772768659798003,0.0033083853691315123,True
2025-03-25,Philippines,Maldives,False,4,1,home,2025-02-15,4256,dixon_coles,0.7228241875775641,0.17622716144470862,0.10094865097772707,True
2025-03-25,Bhutan,Yemen,False,0,0,draw,2025-02-15,4256,dixon_coles,0.03945300328519666,0.10194525942460732,0.858601737290196,True
2025-03-25,Lebanon,Brunei,True,5,0,home,2025-02-15,4256,dixon_coles,0.8898286270966836,0.09254168560439201,0.017629687298924317,True
2025-03-25,India,Bangladesh,False,0,0,draw,2025-02-15,4256,dixon_coles,0.6681256354100145,0.2533346925415804,0.0785396720484051,True
2025-03-25,Singapore,Hong Kong,False,0,0,draw,2025-02-15,4256,dixon_coles,0.28492052727597805,0.2599716435553975,0.4551078291686243,True
